scenario,level,system,expression_group_layer,expression_group,row_count,sum_count,scenario_heavy_row_count,scenario_heavy_sum_count,share_of_system_scenario_grouped_rows,share_of_system_scenario_grouped_sum,share_of_scenario_level_grouped_rows,share_of_scenario_level_grouped_sum
S3,trigrams,HYBRID_SEMANTIC,constraint_aligned,practical_considerations_and_execution,36,80,0,0,0.493151,0.470588,0.122449,0.121029
S3,trigrams,HYBRID_SEMANTIC,cross_cutting,smoothing,1,2,0,0,0.013699,0.011765,0.003401,0.003026
S3,trigrams,HYBRID_SEMANTIC,cross_cutting,surfacing,5,12,0,0,0.068493,0.070588,0.017007,0.018154
S3,trigrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,11,26,0,0,0.150685,0.152941,0.037415,0.039334
S3,trigrams,HYBRID_SEMANTIC,constraint_aligned,truth,1,2,0,0,0.013699,0.011765,0.003401,0.003026
S3,trigrams,HYBRID_SEMANTIC,cross_cutting,warning,4,9,0,0,0.054795,0.052941,0.013605,0.013616
S5,quadgrams,AC15,cross_cutting,conditions,1,2,0,0,0.023256,0.021505,0.005435,0.004926
S5,quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,18,40,0,0,0.418605,0.430108,0.097826,0.098522
S5,quadgrams,AC15,cross_cutting,surfacing,6,12,0,0,0.139535,0.129032,0.032609,0.029557
S5,quadgrams,AC15,constraint_aligned,temporal_projection,10,26,0,0,0.232558,0.279570,0.054348,0.064039
S5,quadgrams,AC15,constraint_aligned,truth,17,37,0,0,0.395349,0.397849,0.092391,0.091133
S5,quadgrams,AC15,cross_cutting,warning,1,2,0,0,0.023256,0.021505,0.005435,0.004926
S5,quadgrams,AC15P,cross_cutting,conditions,4,8,0,0,0.090909,0.080000,0.021739,0.019704
S5,quadgrams,AC15P,cross_cutting,hedging,2,4,0,0,0.045455,0.040000,0.010870,0.009852
S5,quadgrams,AC15P,constraint_aligned,imagination_and_possibility,5,12,0,0,0.113636,0.120000,0.027174,0.029557
S5,quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,9,19,0,0,0.204545,0.190000,0.048913,0.046798
S5,quadgrams,AC15P,cross_cutting,surfacing,6,12,0,0,0.136364,0.120000,0.032609,0.029557
S5,quadgrams,AC15P,constraint_aligned,temporal_projection,15,37,0,0,0.340909,0.370000,0.081522,0.091133
S5,quadgrams,AC15P,constraint_aligned,truth,9,22,0,0,0.204545,0.220000,0.048913,0.054187
S5,quadgrams,CONTROL,cross_cutting,autonomy_sovereignty,1,2,0,0,0.047619,0.038462,0.005435,0.004926
S5,quadgrams,CONTROL,cross_cutting,hedging,4,8,0,0,0.190476,0.153846,0.021739,0.019704
S5,quadgrams,CONTROL,constraint_aligned,practical_considerations_and_execution,6,22,0,0,0.285714,0.423077,0.032609,0.054187
S5,quadgrams,CONTROL,cross_cutting,surfacing,3,6,0,0,0.142857,0.115385,0.016304,0.014778
S5,quadgrams,CONTROL,constraint_aligned,temporal_projection,3,6,0,0,0.142857,0.115385,0.016304,0.014778
S5,quadgrams,CONTROL,constraint_aligned,truth,6,12,0,0,0.285714,0.230769,0.032609,0.029557
S5,quadgrams,HYBRID_3_5,cross_cutting,conditions,1,2,0,0,0.028571,0.026667,0.005435,0.004926
S5,quadgrams,HYBRID_3_5,cross_cutting,hedging,10,21,0,0,0.285714,0.280000,0.054348,0.051724
S5,quadgrams,HYBRID_3_5,constraint_aligned,imagination_and_possibility,2,4,0,0,0.057143,0.053333,0.010870,0.009852
S5,quadgrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,4,12,0,0,0.114286,0.160000,0.021739,0.029557
S5,quadgrams,HYBRID_3_5,cross_cutting,surfacing,1,2,0,0,0.028571,0.026667,0.005435,0.004926
S5,quadgrams,HYBRID_3_5,constraint_aligned,temporal_projection,11,22,0,0,0.314286,0.293333,0.059783,0.054187
S5,quadgrams,HYBRID_3_5,constraint_aligned,truth,9,18,0,0,0.257143,0.240000,0.048913,0.044335
S5,quadgrams,HYBRID_3_5,cross_cutting,warning,1,2,0,0,0.028571,0.026667,0.005435,0.004926
S5,quadgrams,HYBRID_SEMANTIC,cross_cutting,autonomy_sovereignty,2,4,0,0,0.048780,0.046512,0.010870,0.009852
S5,quadgrams,HYBRID_SEMANTIC,cross_cutting,conditions,3,6,0,0,0.073171,0.069767,0.016304,0.014778
S5,quadgrams,HYBRID_SEMANTIC,constraint_aligned,imagination_and_possibility,2,4,0,0,0.048780,0.046512,0.010870,0.009852
S5,quadgrams,HYBRID_SEMANTIC,constraint_aligned,practical_considerations_and_execution,10,20,0,0,0.243902,0.232558,0.054348,0.049261
S5,quadgrams,HYBRID_SEMANTIC,cross_cutting,smoothing,1,2,0,0,0.024390,0.023256,0.005435,0.004926
S5,quadgrams,HYBRID_SEMANTIC,cross_cutting,surfacing,6,12,0,0,0.146341,0.139535,0.032609,0.029557
S5,quadgrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,6,14,0,0,0.146341,0.162791,0.032609,0.034483
S5,quadgrams,HYBRID_SEMANTIC,constraint_aligned,truth,14,30,0,0,0.341463,0.348837,0.076087,0.073892
S5,quadgrams,HYBRID_SEMANTIC,cross_cutting,warning,3,6,0,0,0.073171,0.069767,0.016304,0.014778
S5,trigrams,AC15,cross_cutting,autonomy_sovereignty,1,2,0,0,0.017241,0.016000,0.003937,0.003497
S5,trigrams,AC15,cross_cutting,conditions,1,2,0,0,0.017241,0.016000,0.003937,0.003497
S5,trigrams,AC15,constraint_aligned,imagination_and_possibility,1,2,0,0,0.017241,0.016000,0.003937,0.003497
S5,trigrams,AC15,constraint_aligned,practical_considerations_and_execution,25,56,0,0,0.431034,0.448000,0.098425,0.097902
S5,trigrams,AC15,cross_cutting,surfacing,6,12,0,0,0.103448,0.096000,0.023622,0.020979
S5,trigrams,AC15,constraint_aligned,temporal_projection,13,30,2,4,0.224138,0.240000,0.051181,0.052448
S5,trigrams,AC15,constraint_aligned,truth,18,41,0,0,0.310345,0.328000,0.070866,0.071678
S5,trigrams,AC15,cross_cutting,warning,2,4,0,0,0.034483,0.032000,0.007874,0.006993
S5,trigrams,AC15P,cross_cutting,conditions,4,8,0,0,0.061538,0.050000,0.015748,0.013986
S5,trigrams,AC15P,cross_cutting,hedging,5,10,0,0,0.076923,0.062500,0.019685,0.017483
S5,trigrams,AC15P,constraint_aligned,imagination_and_possibility,5,13,0,0,0.076923,0.081250,0.019685,0.022727
S5,trigrams,AC15P,constraint_aligned,practical_considerations_and_execution,9,20,0,0,0.138462,0.125000,0.035433,0.034965
S5,trigrams,AC15P,cross_cutting,surfacing,5,12,0,0,0.076923,0.075000,0.019685,0.020979
S5,trigrams,AC15P,constraint_aligned,temporal_projection,22,59,1,2,0.338462,0.368750,0.086614,0.103147
S5,trigrams,AC15P,constraint_aligned,truth,21,53,0,0,0.323077,0.331250,0.082677,0.092657
S5,trigrams,AC15P,cross_cutting,warning,3,6,0,0,0.046154,0.037500,0.011811,0.010490
S5,trigrams,CONTROL,cross_cutting,autonomy_sovereignty,1,2,0,0,0.022222,0.018868,0.003937,0.003497
S5,trigrams,CONTROL,cross_cutting,hedging,5,10,0,0,0.111111,0.094340,0.019685,0.017483
S5,trigrams,CONTROL,constraint_aligned,practical_considerations_and_execution,10,30,0,0,0.222222,0.283019,0.039370,0.052448
S5,trigrams,CONTROL,cross_cutting,surfacing,10,23,0,0,0.222222,0.216981,0.039370,0.040210
S5,trigrams,CONTROL,constraint_aligned,temporal_projection,10,20,0,0,0.222222,0.188679,0.039370,0.034965
S5,trigrams,CONTROL,constraint_aligned,truth,17,38,0,0,0.377778,0.358491,0.066929,0.066434
S5,trigrams,HYBRID_3_5,cross_cutting,conditions,2,4,0,0,0.055556,0.051948,0.007874,0.006993
S5,trigrams,HYBRID_3_5,cross_cutting,hedging,7,14,0,0,0.194444,0.181818,0.027559,0.024476
S5,trigrams,HYBRID_3_5,constraint_aligned,imagination_and_possibility,4,9,0,0,0.111111,0.116883,0.015748,0.015734
S5,trigrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,5,10,0,0,0.138889,0.129870,0.019685,0.017483
S5,trigrams,HYBRID_3_5,constraint_aligned,temporal_projection,9,18,0,0,0.250000,0.233766,0.035433,0.031469
S5,trigrams,HYBRID_3_5,constraint_aligned,truth,11,26,0,0,0.305556,0.337662,0.043307,0.045455
S5,trigrams,HYBRID_3_5,cross_cutting,warning,2,4,0,0,0.055556,0.051948,0.007874,0.006993
S5,trigrams,HYBRID_SEMANTIC,cross_cutting,autonomy_sovereignty,6,12,0,0,0.120000,0.115385,0.023622,0.020979
S5,trigrams,HYBRID_SEMANTIC,cross_cutting,conditions,3,6,0,0,0.060000,0.057692,0.011811,0.010490
S5,trigrams,HYBRID_SEMANTIC,cross_cutting,hedging,1,2,0,0,0.020000,0.019231,0.003937,0.003497
S5,trigrams,HYBRID_SEMANTIC,constraint_aligned,imagination_and_possibility,3,6,0,0,0.060000,0.057692,0.011811,0.010490
S5,trigrams,HYBRID_SEMANTIC,constraint_aligned,practical_considerations_and_execution,7,14,0,0,0.140000,0.134615,0.027559,0.024476
S5,trigrams,HYBRID_SEMANTIC,cross_cutting,smoothing,3,6,0,0,0.060000,0.057692,0.011811,0.010490
S5,trigrams,HYBRID_SEMANTIC,cross_cutting,surfacing,4,8,0,0,0.080000,0.076923,0.015748,0.013986
S5,trigrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,9,20,0,0,0.180000,0.192308,0.035433,0.034965
