level,system,expression_group,expression_subgroup,row_count,sum_count,scenario_count,scenarios,share_of_system_level_group_subgroup_rows,share_of_system_level_group_subgroup_sum
trigrams,CONTROL,practical_considerations_and_execution,resources_timing_conditions,9,22,3,S1;S3;S7,0.183673,0.184874
trigrams,CONTROL,temporal_projection,change_and_rate,13,29,4,S1;S3;S5;S7,0.361111,0.358025
trigrams,CONTROL,temporal_projection,decay_and_currency,6,12,1,S5,0.166667,0.148148
trigrams,CONTROL,temporal_projection,past_present_future,2,6,1,S1,0.055556,0.074074
trigrams,CONTROL,temporal_projection,robustness_and_resilience,5,11,2,S1;S5,0.138889,0.135802
trigrams,CONTROL,temporal_projection,time_horizons,10,23,4,S1;S3;S5;S7,0.277778,0.283951
trigrams,CONTROL,truth,fact_vs_interpretation,1,2,1,S3,0.038462,0.035088
trigrams,CONTROL,truth,plain_statement,1,2,1,S7,0.038462,0.035088
trigrams,CONTROL,truth,uncertainty_marking,2,4,1,S1,0.076923,0.070175
trigrams,CONTROL,truth,verification,22,49,4,S1;S3;S5;S7,0.846154,0.859649
trigrams,HYBRID_3_5,imagination_and_possibility,exploration_within_bounds,2,4,2,S1;S5,0.333333,0.307692
trigrams,HYBRID_3_5,imagination_and_possibility,path_toward_feasibility,1,2,1,S3,0.166667,0.153846
trigrams,HYBRID_3_5,imagination_and_possibility,speculative_boundary_marking,3,7,1,S5,0.500000,0.538462
trigrams,HYBRID_3_5,practical_considerations_and_execution,action_and_execution,32,69,4,S1;S3;S5;S7,0.444444,0.453947
trigrams,HYBRID_3_5,practical_considerations_and_execution,constraints_and_tradeoffs,14,29,4,S1;S3;S5;S7,0.194444,0.190789
trigrams,HYBRID_3_5,practical_considerations_and_execution,friction_and_blockers,2,4,2,S1;S3,0.027778,0.026316
trigrams,HYBRID_3_5,practical_considerations_and_execution,resources_timing_conditions,24,50,3,S1;S3;S7,0.333333,0.328947
trigrams,HYBRID_3_5,temporal_projection,change_and_rate,7,19,3,S1;S3;S7,0.179487,0.215909
trigrams,HYBRID_3_5,temporal_projection,decay_and_currency,6,12,3,S1;S5;S7,0.153846,0.136364
trigrams,HYBRID_3_5,temporal_projection,past_present_future,1,2,1,S7,0.025641,0.022727
trigrams,HYBRID_3_5,temporal_projection,robustness_and_resilience,9,20,3,S1;S3;S5,0.230769,0.227273
