scenario,level,system,group,layer,group_rows,group_sum_count,system_total_rows,system_total_sum_count,group_row_share,group_sum_share
S5,quadgrams,AC15P,smoothing,B,0,0,112,258,0.0,0.0
S5,quadgrams,AC15P,hedging,B,2,4,112,258,0.017857142857142856,0.015503875968992248
S5,quadgrams,AC15P,warning,B,0,0,112,258,0.0,0.0
S5,quadgrams,AC15P,conditions,B,4,8,112,258,0.03571428571428571,0.031007751937984496
S5,quadgrams,AC15P,autonomy_sovereignty,B,0,0,112,258,0.0,0.0
S5,quadgrams,HYBRID_3_5,truth,A,9,18,91,198,0.0989010989010989,0.09090909090909091
S5,quadgrams,HYBRID_3_5,practical_considerations_and_execution,A,4,12,91,198,0.04395604395604396,0.06060606060606061
S5,quadgrams,HYBRID_3_5,temporal_projection,A,11,22,91,198,0.12087912087912088,0.1111111111111111
S5,quadgrams,HYBRID_3_5,imagination_and_possibility,A,2,4,91,198,0.02197802197802198,0.020202020202020204
S5,quadgrams,HYBRID_3_5,surfacing,B,1,2,91,198,0.01098901098901099,0.010101010101010102
S5,quadgrams,HYBRID_3_5,smoothing,B,0,0,91,198,0.0,0.0
S5,quadgrams,HYBRID_3_5,hedging,B,10,21,91,198,0.10989010989010989,0.10606060606060606
S5,quadgrams,HYBRID_3_5,warning,B,1,2,91,198,0.01098901098901099,0.010101010101010102
S5,quadgrams,HYBRID_3_5,conditions,B,1,2,91,198,0.01098901098901099,0.010101010101010102
S5,quadgrams,HYBRID_3_5,autonomy_sovereignty,B,0,0,91,198,0.0,0.0
S5,quadgrams,HYBRID_SEMANTIC,truth,A,14,30,89,192,0.15730337078651685,0.15625
S5,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,A,10,20,89,192,0.11235955056179775,0.10416666666666667
S5,quadgrams,HYBRID_SEMANTIC,temporal_projection,A,6,14,89,192,0.06741573033707865,0.07291666666666667
S5,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,A,2,4,89,192,0.02247191011235955,0.020833333333333332
S5,quadgrams,HYBRID_SEMANTIC,surfacing,B,6,12,89,192,0.06741573033707865,0.0625
S5,quadgrams,HYBRID_SEMANTIC,smoothing,B,1,2,89,192,0.011235955056179775,0.010416666666666666
S5,quadgrams,HYBRID_SEMANTIC,hedging,B,0,0,89,192,0.0,0.0
S5,quadgrams,HYBRID_SEMANTIC,warning,B,3,6,89,192,0.033707865168539325,0.03125
S5,quadgrams,HYBRID_SEMANTIC,conditions,B,3,6,89,192,0.033707865168539325,0.03125
S5,quadgrams,HYBRID_SEMANTIC,autonomy_sovereignty,B,2,4,89,192,0.02247191011235955,0.020833333333333332
S7,quadgrams,CONTROL,truth,A,0,0,112,231,0.0,0.0
S7,quadgrams,CONTROL,practical_considerations_and_execution,A,0,0,112,231,0.0,0.0
S7,quadgrams,CONTROL,temporal_projection,A,6,12,112,231,0.05357142857142857,0.05194805194805195
S7,quadgrams,CONTROL,imagination_and_possibility,A,0,0,112,231,0.0,0.0
S7,quadgrams,CONTROL,surfacing,B,7,15,112,231,0.0625,0.06493506493506493
S7,quadgrams,CONTROL,smoothing,B,0,0,112,231,0.0,0.0
S7,quadgrams,CONTROL,hedging,B,5,10,112,231,0.044642857142857144,0.04329004329004329
S7,quadgrams,CONTROL,warning,B,1,2,112,231,0.008928571428571428,0.008658008658008658
S7,quadgrams,CONTROL,conditions,B,3,6,112,231,0.026785714285714284,0.025974025974025976
S7,quadgrams,CONTROL,autonomy_sovereignty,B,1,2,112,231,0.008928571428571428,0.008658008658008658
S7,quadgrams,AC15,truth,A,2,4,154,335,0.012987012987012988,0.011940298507462687
S7,quadgrams,AC15,practical_considerations_and_execution,A,3,6,154,335,0.01948051948051948,0.01791044776119403
S7,quadgrams,AC15,temporal_projection,A,9,19,154,335,0.05844155844155844,0.056716417910447764
S7,quadgrams,AC15,imagination_and_possibility,A,1,2,154,335,0.006493506493506494,0.005970149253731343
S7,quadgrams,AC15,surfacing,B,1,2,154,335,0.006493506493506494,0.005970149253731343
S7,quadgrams,AC15,smoothing,B,8,17,154,335,0.05194805194805195,0.050746268656716415
S7,quadgrams,AC15,hedging,B,5,10,154,335,0.032467532467532464,0.029850746268656716
S7,quadgrams,AC15,warning,B,4,8,154,335,0.025974025974025976,0.023880597014925373
S7,quadgrams,AC15,conditions,B,2,4,154,335,0.012987012987012988,0.011940298507462687
S7,quadgrams,AC15,autonomy_sovereignty,B,1,2,154,335,0.006493506493506494,0.005970149253731343
S7,quadgrams,AC15P,truth,A,2,4,178,395,0.011235955056179775,0.010126582278481013
S7,quadgrams,AC15P,practical_considerations_and_execution,A,0,0,178,395,0.0,0.0
S7,quadgrams,AC15P,temporal_projection,A,11,23,178,395,0.06179775280898876,0.05822784810126582
S7,quadgrams,AC15P,imagination_and_possibility,A,2,4,178,395,0.011235955056179775,0.010126582278481013
S7,quadgrams,AC15P,surfacing,B,7,14,178,395,0.03932584269662921,0.035443037974683546
S7,quadgrams,AC15P,smoothing,B,0,0,178,395,0.0,0.0
S7,quadgrams,AC15P,hedging,B,9,24,178,395,0.05056179775280899,0.060759493670886074
S7,quadgrams,AC15P,warning,B,1,2,178,395,0.0056179775280898875,0.005063291139240506
S7,quadgrams,AC15P,conditions,B,5,12,178,395,0.028089887640449437,0.030379746835443037
S7,quadgrams,AC15P,autonomy_sovereignty,B,0,0,178,395,0.0,0.0
S7,quadgrams,HYBRID_3_5,truth,A,1,2,119,255,0.008403361344537815,0.00784313725490196
S7,quadgrams,HYBRID_3_5,practical_considerations_and_execution,A,2,4,119,255,0.01680672268907563,0.01568627450980392
S7,quadgrams,HYBRID_3_5,temporal_projection,A,6,12,119,255,0.05042016806722689,0.047058823529411764
S7,quadgrams,HYBRID_3_5,imagination_and_possibility,A,0,0,119,255,0.0,0.0
S7,quadgrams,HYBRID_3_5,surfacing,B,3,6,119,255,0.025210084033613446,0.023529411764705882
S7,quadgrams,HYBRID_3_5,smoothing,B,0,0,119,255,0.0,0.0
S7,quadgrams,HYBRID_3_5,hedging,B,9,26,119,255,0.07563025210084033,0.10196078431372549
S7,quadgrams,HYBRID_3_5,warning,B,7,14,119,255,0.058823529411764705,0.054901960784313725
S7,quadgrams,HYBRID_3_5,conditions,B,0,0,119,255,0.0,0.0
S7,quadgrams,HYBRID_3_5,autonomy_sovereignty,B,2,4,119,255,0.01680672268907563,0.01568627450980392
S7,quadgrams,HYBRID_SEMANTIC,truth,A,5,10,137,288,0.0364963503649635,0.034722222222222224
S7,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,A,4,8,137,288,0.029197080291970802,0.027777777777777776
S7,quadgrams,HYBRID_SEMANTIC,temporal_projection,A,4,8,137,288,0.029197080291970802,0.027777777777777776
S7,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,A,5,10,137,288,0.0364963503649635,0.034722222222222224
S7,quadgrams,HYBRID_SEMANTIC,surfacing,B,7,14,137,288,0.051094890510948905,0.04861111111111111
S7,quadgrams,HYBRID_SEMANTIC,smoothing,B,0,0,137,288,0.0,0.0
S7,quadgrams,HYBRID_SEMANTIC,hedging,B,1,8,137,288,0.0072992700729927005,0.027777777777777776
S7,quadgrams,HYBRID_SEMANTIC,warning,B,2,4,137,288,0.014598540145985401,0.013888888888888888
S7,quadgrams,HYBRID_SEMANTIC,conditions,B,11,23,137,288,0.08029197080291971,0.0798611111111111
S7,quadgrams,HYBRID_SEMANTIC,autonomy_sovereignty,B,0,0,137,288,0.0,0.0
